step	r2
0	0.18717867654109321
1	0.3390319250985341
2	0.4622004209967613
3	0.5622743898302593
4	0.6434153110196954
5	0.7093167554851045
6	0.7628308981401124
7	0.8062547794540418
8	0.8414947383463194
9	0.8700914734527482
10	0.8933549792108502
11	0.9122998702521802
12	0.9276443579795021
13	0.940134770773029
14	0.9503150395227178
15	0.9585827917408996
16	0.9653204405558841
17	0.9707971408050902
18	0.9752695013828577
19	0.9788971451474953
20	0.9818649286348872
21	0.9842860912443774
22	0.9862556055633548
23	0.9878644662708232
24	0.9891823648169151
25	0.9902603261927774
26	0.9911375684198237
27	0.9918599072720626
28	0.9924554919856818
29	0.992935218303158
30	0.9933341931130492
31	0.9936595042890036
32	0.9939306734007508
33	0.9941595185792841
34	0.9943416392768908
35	0.9944935863924218
36	0.9946201958004112
37	0.9947262151827035
38	0.9948144226690809
39	0.9948853746173487
40	0.9949448415323989
41	0.9949982791262562
42	0.9950367374864958
43	0.9950727430713014
44	0.9951022129458083
45	0.9951281525485702
46	0.9951527606117258
47	0.9951708368028159
48	0.9951852268035112
49	0.9952008850759128
50	0.9952097446933343
51	0.9952207262903294
52	0.995230425472703
53	0.9952367326273274
54	0.9952438964930228
55	0.9952494218992054
56	0.9952548557546527
57	0.995259029222083
58	0.9952610097045196
59	0.9952647048515874
60	0.9952674666882184
61	0.9952712897903238
62	0.9952724140873231
63	0.9952758857511543
64	0.9952758263385764
65	0.9952802317225556
66	0.9952811061453868
67	0.9952821837042409
68	0.9952837635278226
69	0.9952837824322658
70	0.9952842350436224
71	0.9952849520450345
72	0.9952861924449673
73	0.9952868670455344
74	0.9952879920875833
75	0.9952878223673305
76	0.9952884410527777
77	0.9952911164368113
78	0.9952911193702144
79	0.9952926202937566
80	0.995293224783517
81	0.9952932346710722
82	0.9952934348383453
83	0.9952941048833134
84	0.9952935601000781
85	0.9952943975334696
86	0.995294305553578
87	0.9952953672348965
88	0.9952955302401613
89	0.9952961598734387
90	0.995296734839323
91	0.9952972210502955
92	0.9952971690035968
93	0.9953005251043857
94	0.9953002005925948
95	0.9953006534354578
96	0.995300878509872
97	0.9953008325932587
98	0.9953013276822125
99	0.9953018841138643
